check,passed,observed,expected,note
primary_021_coverage_c,True,0.0828,0.0828,
primary_021_coverage_naive,True,0.091,0.091,
primary_021_median_interval_width_log,True,0.15774106520863584,0.1577410652086358,
primary_021_directional_signal_rate,True,0.825,0.825,
primary_021_median_cross_ratio,True,0.9992401527409058,0.9992401527409058,
primary_021_max_abs_score_residual_sum,True,3.62003760301377e-11,3.62003760301377e-11,
primary_022_successful,True,5000,5000,
primary_022_failed,True,0,0,
primary_022_median_HR_c,True,0.8740191850806425,0.8740191850806425,
primary_022_median_HR_naive,True,0.8765965150535167,0.8765965150535167,
primary_022_median_HR_o,True,0.8737258248679884,0.8737258248679884,
primary_022_bias_logHR_c,True,-0.1347001632842173,-0.1347001632842173,
primary_022_median_HR_percent_error_c,True,-12.598081491935753,-12.598081491935751,
primary_022_empirical_SE,True,0.012820629843788029,0.012820629843788,
primary_022_avg_robust_SE,True,0.01272124232839329,0.0127212423283933,
primary_022_avg_model_SE,True,0.017973917872675414,0.0179739178726754,
primary_022_rmse_c,True,0.13530879374481286,0.1353087937448129,
primary_022_coverage_c,True,0.0,0.0,
primary_022_coverage_naive,True,0.0,0.0,
primary_022_median_interval_width_log,True,0.04986768375379745,0.0498676837537976,
primary_022_directional_signal_rate,True,1.0,1.0,
primary_022_median_cross_ratio,True,1.000187344046888,1.0001873440468882,
primary_022_max_abs_score_residual_sum,True,3.3469973459432363e-09,3.3469973459432363e-09,
primary_023_successful,True,5000,5000,
primary_023_failed,True,0,0,
primary_023_median_HR_c,True,0.7782142346916558,0.7782142346916558,
primary_023_median_HR_naive,True,0.7797652562059878,0.7797652562059878,
primary_023_median_HR_o,True,0.8856194274155234,0.8856194274155234,
primary_023_bias_logHR_c,True,-0.08802365253138815,-0.0880236525313881,
primary_023_median_HR_percent_error_c,True,-8.445384153922838,-8.445384153922838,
primary_023_empirical_SE,True,0.04071690359993082,0.0407169035999308,
primary_023_avg_robust_SE,True,0.0411804513729635,0.0411804513729635,
primary_023_avg_model_SE,True,0.05811455995096665,0.0581145599509666,
primary_023_rmse_c,True,0.09698297825126254,0.0969829782512625,
primary_023_coverage_c,True,0.4292,0.4292,
primary_023_coverage_naive,True,0.4336,0.4336,
primary_023_median_interval_width_log,True,0.16140882253072375,0.1614088225307237,
primary_023_directional_signal_rate,True,0.757,0.757,
primary_023_median_cross_ratio,True,0.8791801613947855,0.8791801613947855,
primary_023_max_abs_score_residual_sum,True,3.290878680672904e-11,3.290878680672904e-11,
primary_024_successful,True,5000,5000,
primary_024_failed,True,0,0,
primary_024_median_HR_c,True,0.7789046389065193,0.7789046389065193,
primary_024_median_HR_naive,True,0.7801519912272095,0.7801519912272095,
primary_024_median_HR_o,True,0.8845173867392686,0.8845173867392686,
primary_024_bias_logHR_c,True,-0.08734936934263933,-0.0873493693426393,
primary_024_median_HR_percent_error_c,True,-8.364160128644787,-8.364160128644787,
primary_024_empirical_SE,True,0.012874122360220671,0.0128741223602206,
primary_024_avg_robust_SE,True,0.013017304235676522,0.0130173042356765,
primary_024_avg_model_SE,True,0.018360301309801735,0.0183603013098017,
primary_024_rmse_c,True,0.08829282078684224,0.0882928207868422,
primary_024_coverage_c,True,0.0,0.0,
primary_024_coverage_naive,True,0.0,0.0,
primary_024_median_interval_width_log,True,0.05103012340970208,0.0510301234097022,
primary_024_directional_signal_rate,True,1.0,1.0,
primary_024_median_cross_ratio,True,0.8807670365475653,0.8807670365475653,
primary_024_max_abs_score_residual_sum,True,3.3264484500250542e-09,3.3264484500250542e-09,
primary_025_successful,True,5000,5000,
primary_025_failed,True,0,0,
primary_025_median_HR_c,True,0.9990894670433459,0.999089467043346,
primary_025_median_HR_naive,True,0.9988964646600165,0.9988964646600164,
primary_025_median_HR_o,True,0.9994127978736032,0.9994127978736032,
primary_025_bias_logHR_c,True,-0.0006287589144117434,-0.0006287589144117,
primary_025_median_HR_percent_error_c,True,-0.09105329566541087,-0.0910532956654108,
primary_025_empirical_SE,True,0.04015911262510561,0.0401591126251056,
primary_025_avg_robust_SE,True,0.03964706768783186,0.0396470676878319,
primary_025_avg_model_SE,True,0.05611010150154137,0.0561101015015414,
primary_025_rmse_c,True,0.04016001884639749,0.0401600188463975,
primary_025_coverage_c,True,0.948,0.948,
primary_025_coverage_naive,True,0.947,0.947,
primary_025_median_interval_width_log,True,0.1553980959618918,0.155398095961892,
primary_025_directional_signal_rate,True,0.0256,0.0256,
primary_025_median_cross_ratio,True,1.0000382716921026,1.0000382716921026,
primary_025_max_abs_score_residual_sum,True,3.495426170729843e-11,3.495426170729843e-11,
primary_026_successful,True,5000,5000,
primary_026_failed,True,0,0,
primary_026_median_HR_c,True,0.9997592237719997,0.9997592237719996,
primary_026_median_HR_naive,True,0.999860668157937,0.999860668157937,
primary_026_median_HR_o,True,0.999627429127937,0.999627429127937,
primary_026_bias_logHR_c,True,-0.00016624239725490658,-0.0001662423972549,
primary_026_median_HR_percent_error_c,True,-0.024077622800033893,-0.0240776228000338,
primary_026_empirical_SE,True,0.012555813062537153,0.0125558130625371,
primary_026_avg_robust_SE,True,0.012534119415198382,0.0125341194151984,
primary_026_avg_model_SE,True,0.017727963426952483,0.0177279634269525,
primary_026_rmse_c,True,0.012555658027665909,0.0125556580276659,
primary_026_coverage_c,True,0.9468,0.9468,
primary_026_coverage_naive,True,0.9468,0.9468,
primary_026_median_interval_width_log,True,0.0491353247178932,0.0491353247178933,
primary_026_directional_signal_rate,True,0.028,0.028,
primary_026_median_cross_ratio,True,1.0001457123672295,1.0001457123672295,
primary_026_max_abs_score_residual_sum,True,3.034333673213041e-09,3.034333673213041e-09,
primary_027_successful,True,5000,5000,
primary_027_failed,True,0,0,
primary_027_median_HR_c,True,0.906925090065421,0.9069250900654212,
primary_027_median_HR_naive,True,0.9048599859925344,0.9048599859925344,
primary_027_median_HR_o,True,1.0002514382968442,1.0002514382968442,
