combo,se,sp,uhr,eff,n,dataset_id,beta_py,se_py,beta_r,se_r,abs_beta_diff,abs_se_diff
10,0.9,0.9,0.33,1.0,5000,2,-0.1314363466696299,0.04033489281709,-0.131436167183795,0.0405144823025085,1.7948583488913705e-07,0.00017958948541850484
10,0.9,0.9,0.33,1.0,5000,3,-0.1492872940900548,0.0398081653736522,-0.149287294090054,0.0396929181839235,8.049116928532385e-16,0.00011524718972869691
10,0.9,0.9,0.33,1.0,5000,4,-0.1593442886303253,0.0396770894406757,-0.159344288630325,0.039676087500713,3.0531133177191805e-16,1.0019399627053671e-06
10,0.9,0.9,0.33,1.0,5000,5,-0.1637212884909897,0.0399227757686259,-0.16372128849099,0.040142148915544,2.7755575615628914e-16,0.00021937314691809762
10,0.9,0.9,0.33,1.0,5000,6,-0.1761743457909579,0.039666616958617,-0.176174345790958,0.039589764156087,1.1102230246251565e-16,7.685280253000304e-05
10,0.9,0.9,0.33,1.0,5000,7,-0.1740012274538367,0.0402718330348925,-0.174001227453837,0.0404607304232935,3.0531133177191805e-16,0.00018889738840099923
10,0.9,0.9,0.33,1.0,5000,8,-0.1231140845973866,0.0400577065762357,-0.123114084597387,0.0401631679083029,4.0245584642661925e-16,0.00010546133206719432
10,0.9,0.9,0.33,1.0,5000,9,-0.1096380313377777,0.0405256901497788,-0.109638031258412,0.0405612834722417,7.936570844968571e-11,3.559332246290403e-05
10,0.9,0.9,0.33,1.0,5000,10,-0.0957668231932081,0.0399156840621198,-0.0957668234224878,0.0400664554454071,2.2927969245412072e-10,0.00015077138328729867
10,0.9,0.9,0.33,1.0,5000,11,-0.1601072801757805,0.0399707217365234,-0.16010728017578,0.040034309786752,4.996003610813204e-16,6.358805022860237e-05
10,0.9,0.9,0.33,1.0,5000,12,-0.1968005024393181,0.0401953782203101,-0.196800502439318,0.0403904646641594,1.1102230246251565e-16,0.00019508644384930163
10,0.9,0.9,0.33,1.0,5000,13,-0.1494630640381097,0.0397950566754775,-0.14946306403811,0.0396770045796221,3.0531133177191805e-16,0.00011805209585540044
10,0.9,0.9,0.33,1.0,5000,14,-0.1147453473235479,0.0397435931044592,-0.114745561955211,0.0396739841822102,2.1463166310908832e-07,6.960892224899817e-05
10,0.9,0.9,0.33,1.0,5000,15,-0.1672736635919134,0.0397168533118107,-0.167273663591914,0.0398323761391777,6.106226635438361e-16,0.00011552282736700115
