scenario_id,module,family,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,repetitions,bootstrap_B,tag,cut_years,m1,m2,estimator_or_operation,final_evidence_status,source_artifact
203,primary Cox,low_bladder,low_bladder,1.0,1.0,1.0,0.85,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
204,primary Cox,low_bladder,low_bladder,1.0,1.0,0.5,1.0,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
205,primary Cox,low_bladder,low_bladder,1.0,1.0,0.5,0.85,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
206,primary Cox,low_bladder,low_bladder,1.0,1.0,0.33,1.0,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
207,primary Cox,low_bladder,low_bladder,1.0,1.0,0.33,0.85,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
208,primary Cox,low_bladder,low_bladder,0.9,0.9,1.0,1.0,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
209,primary Cox,low_bladder,low_bladder,0.9,0.9,1.0,0.85,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
210,primary Cox,low_bladder,low_bladder,0.9,0.9,0.5,1.0,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
211,primary Cox,low_bladder,low_bladder,0.9,0.9,0.5,0.85,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
212,primary Cox,low_bladder,low_bladder,0.9,0.9,0.33,1.0,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
