scenario_id,family,module,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,estimand,method,planned_reps,master_seed,scenario_seed,median_HR_c,median_HR_naive,median_HR_o,bias_logHR_c,median_HR_percent_error_c,empirical_SE,avg_model_SE,rmse_c,coverage_c,coverage_naive,median_interval_width_log,directional_signal_rate,median_cross_ratio,mcse_bias,mcse_coverage,mcse_signal,successful,failed,failure_rate,convergence_warnings
110,low_crc,primary,low_crc,0.9,0.9,0.5,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,1431445839,0.923386739769616,0.9252743261615493,0.9239435081185794,-0.08020271024771569,-7.661326023038395,0.048679248364446606,0.05062907284721625,0.09381342717221161,0.658,0.6575,0.1984147694051146,0.7535,0.998231945364302,0.0010885010843649807,0.010607450211997226,0.009636849848368502,2000,0,0.0,0
111,low_crc,primary,low_crc,0.9,0.9,0.5,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,4181054558,0.8130017932075854,0.8125655754606618,0.9237578256404323,-0.04619256427507739,-4.352730210872307,0.05198933964334183,0.052783562668585214,0.06953627100398492,0.863,0.86,0.20687003976363397,0.752,0.879610781505236,0.00116251697547837,0.007688660481514319,0.009656500401284102,2000,0,0.0,0
112,low_crc,primary,low_crc,0.9,0.9,0.33,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,656974555,0.8915284415565086,0.8936079136702815,0.8918605502502295,-0.11620588643270509,-10.847155844349142,0.054528441942246195,0.05233775111938799,0.12835759559437587,0.397,0.4045,0.20520810420836655,0.953,0.998248257825296,0.0012192930289001314,0.010940543862167,0.004732388403332932,2000,0,0.0,0
113,low_crc,primary,low_crc,0.9,0.9,0.33,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,2811051671,0.7844444960564074,0.7851124047813658,0.8900520049828302,-0.08072702990956317,-7.712412228657947,0.05437438596656126,0.05460382593683778,0.09732393806425765,0.7005,0.694,0.21390313894275692,0.9595,0.8813748552710072,0.0012158482325604159,0.01024206400097168,0.004407933189148855,2000,0,0.0,0
114,low_crc,primary,low_crc,0.75,0.85,1.0,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,2910272290,1.0007894525838557,1.000946837579926,1.0019932400767844,0.0005485447415023646,0.07894525838556543,0.046546233439765834,0.04698889590897262,0.046537828406994775,0.9525,0.953,0.18420691506401077,0.025,0.99972291417906,0.0010408054206789026,0.00475624589355933,0.0034910600109422352,2000,0,0.0,0
115,low_crc,primary,low_crc,0.75,0.85,1.0,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,1899656472,0.9088954898965891,0.9072779682783957,1.0000366789880177,0.06696685213226919,6.9288811643046015,0.04823109514593674,0.049017958339303225,0.082520510809205,0.7345,0.747,0.19211040303731036,0.0305,0.9089497821596761,0.0010784800737557469,0.009874455681200862,0.0038451105315712316,2000,0,0.0,0
116,low_crc,primary,low_crc,0.75,0.85,0.5,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,1284729337,0.941745232869206,0.942486742684598,0.9417497847641148,-0.06004413505476029,-5.825476713079403,0.05093849185224811,0.050956911089860155,0.07873201852918385,0.778,0.779,0.199655970345354,0.5055,1.0014227143291259,0.0011390193045294594,0.009292900515985306,0.011179663456473097,2000,0,0.0,0
117,low_crc,primary,low_crc,0.75,0.85,0.5,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,4038332883,0.8571254135216453,0.8556698153726108,0.9411226615983626,0.007819469377353484,0.8382839437229773,0.054195867403815004,0.053132491462581304,0.05474365304739391,0.9425,0.942,0.20827850416059307,0.5185,0.9104667706898244,0.0012118564361449538,0.005205465877325487,0.01117268432383194,2000,0,0.0,0
118,low_crc,primary,low_crc,0.75,0.85,0.33,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,3840724176,0.9175404499959572,0.9188650533427779,0.9154394546691107,-0.08727600798086893,-8.245955000404281,0.0518860316992457,0.052702898886852326,0.10152790638257582,0.6335,0.6335,0.20645386401341503,0.8085,1.0008697903404427,0.0011602069396222231,0.010774454742584426,0.00879851549978745,2000,0,0.0,0
119,low_crc,primary,low_crc,0.75,0.85,0.33,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,568380708,0.8301788324454771,0.8289818706280297,0.9167669116557393,-0.02245317470951648,-2.3319020652379883,0.055566132414510895,0.054980153784146696,0.05991824704134189,0.93,0.9295,0.2154429519028285,0.7895,0.9072072006475577,0.0012424964932560088,0.005705260730238364,0.009115639034099584,2000,0,0.0,0
